county	town	latitude	longitude
Plymouth	Abington	42.12	-70.96
Middlesex	Acton	42.4833314	-71.4499982
Essex	Amesbury	42.85	-70.94
Essex	Andover	42.66	-71.14
Middlesex	Arlington	42.42	-71.16
Middlesex	Ashby	42.677277	-71.81871
Middlesex	Ashland	NA	NA
Bristol	Attleboro	41.9311	-71.295
Norfolk	Avon	NA	NA
Middlesex	Ayer	42.56	-71.58
Middlesex	Bedford	42.491165	-71.281738
Norfolk	Bellingham	42.09	-71.48
Middlesex	Belmont	42.4	-71.18
Essex	Beverly	42.5681	-70.8627
Middlesex	Billerica	42.558422	-71.268946
Suffolk	Boston	42.3188	-71.0852
Middlesex	Boxborough	NA	NA
Essex	Boxford	42.67	-70.98
Norfolk	Braintree	42.2	-71
Plymouth	Bridgewater	41.99	-70.97
Plymouth	Brockton	42.0821	-71.0242
Norfolk	Brookline	42.32	-71.14
Middlesex	Burlington	42.5	-71.2
Middlesex	Cambridge	42.3759	-71.1185
Norfolk	Canton	NA	NA
Middlesex	Carlisle	42.5293	-71.3495
Plymouth	Carver	41.889069	-70.769211
Middlesex	Chelmsford	42.60025	-71.356934
Suffolk	Chelsea	42.3959	-71.0325
Norfolk	Cohasset	42.244179	-70.804543
Middlesex	Concord	42.461777	-71.364235
Essex	Danvers	42.57	-70.95
Norfolk	Dedham	42.25	-71.18
Norfolk	Dover	42.25	-71.27
Middlesex	Dracut	42.668941	-71.303299
Middlesex	Dunstable	42.674461	-71.482391
Plymouth	Duxbury	42.04	-70.67
Plymouth	East Bridgewater	NA	NA
Bristol	Easton	NA	NA
Essex	Essex	42.63	-70.77
Middlesex	Everett	42.4064	-71.0545
Norfolk	Foxborough	42.06	-71.25
Middlesex	Framingham	42.3085	-71.4368
Norfolk	Franklin	42.09	-71.41
Essex	Georgetown	NA	NA
Essex	Gloucester	42.626	-70.6897
Middlesex	Groton	42.61	-71.57
Essex	Groveland	NA	NA
Plymouth	Halifax	NA	NA
Essex	Hamilton	NA	NA
Plymouth	Hanover	NA	NA
Plymouth	Hanson	42.06	-70.85
Worcester	Harvard	NA	NA
Essex	Haverhill	42.7838	-71.0871
Plymouth	Hingham	42.24	-70.89
Norfolk	Holbrook	42.15	-71.01
Middlesex	Holliston	NA	NA
Middlesex	Hopkinton	42.22	-71.52
Middlesex	Hudson	42.39	-71.56
Plymouth	Hull	42.31	-70.88
Essex	Ipswich	42.68	-70.83
Plymouth	Kingston	42	-70.72
Plymouth	Lakeville	NA	NA
Essex	Lawrence	42.7002	-71.1626
Middlesex	Lexington	42.45	-71.23
Middlesex	Lincoln	NA	NA
Middlesex	Littleton	42.5352	-71.4727
